"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","27-Mar-2025","764.00","763.80","775.80","760.50","772.05","772.30","770.57","1,56,48,616","12,05,83,72,899.40","1,75,954","1,04,29,907","66.65"
"SBIN","EQ","28-Mar-2025","772.30","772.10","778.60","767.00","771.20","771.50","773.30","76,28,185","5,89,88,86,414.55","1,19,920","38,81,056","50.88"
"SBIN","EQ","01-Apr-2025","771.50","766.80","782.75","763.20","771.25","771.70","772.17","70,11,125","5,41,37,77,287.45","2,14,639","28,59,726","40.79"
"SBIN","EQ","02-Apr-2025","771.70","772.30","777.00","764.30","776.60","775.95","772.51","54,58,436","4,21,67,03,463.55","1,19,114","25,95,030","47.54"
"SBIN","EQ","03-Apr-2025","775.95","770.00","784.70","769.95","779.90","779.20","778.44","79,56,680","6,19,38,05,584.15","1,40,239","40,32,321","50.68"
"SBIN","EQ","04-Apr-2025","779.20","779.10","782.90","765.00","769.00","767.45","773.82","82,31,194","6,36,94,55,086.45","1,47,204","36,40,339","44.23"
"SBIN","EQ","07-Apr-2025","767.45","730.00","753.70","730.00","749.00","746.90","742.21","1,49,23,235","11,07,61,77,328.65","2,91,536","86,19,013","57.76"
"SBIN","EQ","08-Apr-2025","746.90","760.00","774.00","758.15","770.00","768.60","767.45","1,29,11,288","9,90,87,28,355.80","2,12,013","67,23,264","52.07"
"SBIN","T0","08-Apr-2025","746.90","765.00","765.00","765.00","765.00","768.60","765.00","2","1,530.00","2","-","-"
"SBIN","EQ","09-Apr-2025","768.60","767.00","767.95","741.00","742.45","742.20","751.33","1,13,19,387","8,50,46,47,288.25","2,08,433","48,07,462","42.47"
"SBIN","EQ","11-Apr-2025","742.20","759.00","759.70","746.00","753.85","753.85","752.58","93,60,327","7,04,44,29,057.55","2,00,062","45,71,016","48.83"
"SBIN","EQ","15-Apr-2025","753.85","770.00","770.70","757.10","764.50","763.50","765.37","78,59,090","6,01,51,34,839.80","1,67,851","41,77,413","53.15"
"SBIN","EQ","16-Apr-2025","763.50","763.50","774.75","760.50","772.15","771.75","769.27","1,25,36,694","9,64,41,13,410.45","2,04,698","75,07,493","59.88"
"SBIN","EQ","17-Apr-2025","771.75","772.00","801.00","767.15","793.85","797.45","787.54","2,70,34,818","21,29,09,93,764.10","3,35,841","1,41,20,137","52.23"
"SBIN","EQ","21-Apr-2025","797.45","803.00","824.35","801.40","817.20","816.70","817.02","1,63,98,507","13,39,79,75,541.00","3,59,684","71,76,294","43.76"
"SBIN","EQ","22-Apr-2025","816.70","821.15","835.50","814.00","821.30","822.40","827.32","2,51,17,557","20,78,03,49,179.95","3,23,370","1,54,34,003","61.45"
"SBIN","EQ","23-Apr-2025","822.40","826.00","831.00","810.10","813.50","813.45","817.36","1,21,04,382","9,89,36,05,141.30","1,74,170","57,68,691","47.66"
"SBIN","EQ","24-Apr-2025","813.45","812.75","819.00","811.15","812.00","813.40","814.85","1,27,13,521","10,35,96,38,546.25","1,41,306","65,68,504","51.67"
"SBIN","EQ","25-Apr-2025","813.40","815.00","819.00","787.00","797.40","798.65","799.45","1,31,31,038","10,49,76,10,552.70","2,23,526","61,01,067","46.46"